"parameter","true","point","lwr","upr","lwr_exact","upr_exact","time","implementation","method","replicate"
"beta",0.1,0.117005865221911,0.0795246626279996,0.172152537890905,0.0718238063621086,0.162187924081714,0.451000000000001,"Full","Adaptive",23
"mu",15,21.8299952398381,14.8213705555644,32.1528087017867,13.3771431184294,30.2828473612469,1.45399999999999,"Bessel","Fixed",24
"beta",0.1,0.152857991370425,0.103782199478031,0.22514039636197,0.0936694303262875,0.212046552414562,1.45399999999999,"Bessel","Fixed",24
"mu",15,21.8299935077747,14.8213691299573,32.1528066922154,13.3771420643516,30.2828449511977,0.976999999999997,"Bessel","Adaptive",24
"beta",0.1,0.152857982427612,0.103782192486008,0.225140385186895,0.0936694248974219,0.212046539957803,0.976999999999997,"Bessel","Adaptive",24
"mu",15,21.8299935077552,14.8213691299713,32.1528066921275,13.3771420643501,30.2828449511602,1.042,"Full","Fixed",24
"beta",0.1,0.15285798242749,0.10378219248613,0.225140385186271,0.0936694248974207,0.21204653995756,1.042,"Full","Fixed",24
"mu",15,21.829994574216,14.8213699893751,32.1528079692984,13.3771427127006,30.2828464357315,0.423999999999999,"Full","Adaptive",24
"beta",0.1,0.152857989863934,0.103782198474625,0.225140394100973,0.093669429418225,0.212046550309642,0.423999999999999,"Full","Adaptive",24
"mu",15,14.1188684037568,9.6130253765061,20.7367022550245,8.6932244097637,19.5445123977499,2.332,"Bessel","Fixed",25
"beta",0.1,0.0952793887326242,0.064872534752494,0.139938449328335,0.0586647452567126,0.131894032208536,2.332,"Bessel","Fixed",25
"mu",15,14.1188550425024,9.6130146154665,20.7366862202074,8.69321629584777,19.5444937891571,0.863999999999997,"Bessel","Adaptive",25
"beta",0.1,0.0952792998164547,0.0648724633084678,0.139938342256982,0.0586646912666933,0.131893908366216,0.863999999999997,"Bessel","Adaptive",25
"mu",15,14.118855042467,9.6130146154282,20.736686220186,8.69321629582439,19.5444937891096,0.935000000000002,"Full","Fixed",25
"beta",0.1,0.0952792998162122,0.0648724633082033,0.13993834225684,0.0586646912665334,0.131893908365891,0.935000000000002,"Full","Fixed",25
"mu",15,14.1188679354763,9.61302506850674,20.7367015438758,8.69322412944028,19.5445117415123,0.570999999999998,"Full","Adaptive",25
"beta",0.1,0.0952793786385039,0.0648725261716434,0.139938438187529,0.0586647390954768,0.131894018181531,0.570999999999998,"Full","Adaptive",25
"mu",15,20.0308720749249,13.6063748191766,29.4888125172408,12.2840033618019,27.7777407880478,1.449,"Bessel","Fixed",26
"beta",0.1,0.127864253596361,0.0868526324339613,0.188241471669679,0.0784132051770444,0.177315302015678,1.449,"Bessel","Fixed",26
"mu",15,20.0300742411315,13.6056620035997,29.4880083011831,12.2835155299341,27.776632952329,1.026,"Bessel","Adaptive",26
"beta",0.1,0.127865901008302,0.0868544086921495,0.188242472510699,0.0784142246655205,0.177317577351084,1.026,"Bessel","Adaptive",26
"mu",15,20.0300742411472,13.6056620036189,29.4880083011878,12.2835155299223,27.7766329523721,1.089,"Full","Fixed",26
"beta",0.1,0.127865901008399,0.0868544086922672,0.188242472510729,0.0784142246654437,0.177317577351355,1.089,"Full","Fixed",26
"mu",15,20.0300742251783,13.6056619905352,29.4880082825262,12.2835155202125,27.7766329301442,0.509,"Full","Adaptive",26
"beta",0.1,0.127865900929656,0.0868544086305197,0.188242472412708,0.0784142246176845,0.177317577241628,0.509,"Full","Adaptive",26
